Country Name,Capital,Population,Latitude,Longitude
Taiwan,Taipei,23503349,23.5,121
Tajikistan,Dushanbe,8593600,39,71
"Tanzania, United Republic of",Dodoma,55155000,-6,35
Thailand,Bangkok,65327652,15,100
Timor-Leste,Dili,1167242,-8.83333333,125.91666666
Togo,Lomé,7143000,8,1.16666666
Tokelau,Fakaofo,1411,-9,-172
Tonga,Nuku'alofa,103252,-20,-175
Trinidad and Tobago,Port of Spain,1349667,11,-61
Tunisia,Tunis,11154400,34,9
Turkey,Ankara,78741053,39,35
Turkmenistan,Ashgabat,4751120,40,60
Turks and Caicos Islands,Cockburn Town,31458,21.75,-71.58333333
Tuvalu,Funafuti,10640,-8,178
Uganda,Kampala,33860700,1,32
Ukraine,Kiev,42692393,49,32
United Arab Emirates,Abu Dhabi,9856000,24,54
United Kingdom of Great Britain and Northern Ireland,London,65110000,54,-2
United States of America,"Washington, D.C.",323947000,38,-97
Uruguay,Montevideo,3480222,-33,-56
Uzbekistan,Tashkent,31576400,41,64
Vanuatu,Port Vila,277500,-16,167
Venezuela (Bolivarian Republic of),Caracas,31028700,8,-66
Viet Nam,Hanoi,92700000,16.16666666,107.83333333
Wallis and Futuna,Mata-Utu,11750,-13.3,-176.2
Western Sahara,El Aaiún,510713,24.5,-13
Yemen,Sana'a,27478000,15,48
Zambia,Lusaka,15933883,-15,30
Zimbabwe,Harare,14240168,-20,30
